id,description
KPI_noPeopleReachedDisaster,Total number of people reached for disaster response and early recovery 
KPI_noPeopleReachedDisasterDirect,Total number of people reached for disaster response and early recovery that are directly associated 
KPI_noPeopleReachedDisasterDirectM,Total number of people reached for disaster response and early recovery that are directly associated (Male) 
KPI_noPeopleReachedDisasterDirectF,Total number of people reached for disaster response and early recovery that are directly associated (female) 
KPI_noPeopleReachedDisasterIndirect,Total number of people reached for disaster response and early recovery that are indirectly associated 
KPI_noPeopleReachedAllServices,Total number of people reached for long term Services and Development Programmes
KPI_noPeopleReachedAllServicesDirect,Total number of people reached for long term Services and Development Programmes that are directly associated 
KPI_noPeopleReachedAllServicesDirectM,Total number of people reached for long term Services and Development Programmes  that are directly associated (Male) 
KPI_noPeopleReachedAllServicesDirectF,Total number of people reached for long term Services and Development Programmes  that are directly associated (Female) 
KPI_noPeopleReachedAllServicesIndirect,Total number of people reached for long term Services and Development Programmes that are indirectly associated 
KPI_noPeopleReachedHealth,
KPI_noPeopleReachedHealthDirect,
KPI_noPeopleReachedHealthDirectM,
KPI_noPeopleReachedHealthDirectF,
KPI_noPeopleReachedHealthIndirect,
KPI_noPeopleReachedDevelopment,
KPI_noPeopleReachedDevelopmentDirect,
KPI_noPeopleReachedDevelopmentDirectM,
KPI_noPeopleReachedDevelopmentDirectF,
KPI_noPeopleReachedDevelopmentIndirect,
KPI_noPeopleReachedServices,
KPI_noPeopleReachedServicesDirect,
KPI_noPeopleReachedServicesDirectM,
KPI_noPeopleReachedServicesDirectF,
KPI_noPeopleReachedServicesIndirect,
KPI_noPeopleCoveredPreparedness,Total number of people reached for prepadness and Risk Reduction Programmes
KPI_SPS_ID,"Don't know excatly but once agin it must be a reference to data in database for computer, we don't need it."
KPI_createdBy,The person that created that years entry 
KPI_createdDateTime,The date and time this entry was created 
KPI_modifiedBy,Last person to modify this entry 
KPI_modifiedDateTime,The last time and date this entry was  modified 
KPI_IncomeLC (CHF),Total Income in Swiss Franc currency 
KPI_expenditureLC (CHF),Total Expenditure in Swiss Franc currency 
KPI_incomeFromNSsLC (CHF),Refers to line 21 converted in CHF
KPI_financesToNSsLC (CHF),Refers to line 22 converted in CHF
KPI_recievedInKindLC (CHF),Refers to line 27 converted in CHF
KPI_donatedInKindLC (CHF),Refers to line 28 converted in CHF
